COMMON_NAME,SPECIES_CODE,GROUP,EBS,GOA,AI,BSS,AREA_ID
tiger rockfish,30380,Other rockfish-demersal,FALSE,TRUE,FALSE,FALSE,
broadfin thornyhead,30025,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
longspine thornyhead,30030,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
aurora rockfish,30090,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
silvergray rockfish,30100,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
copper rockfish,30120,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
dusky rockfish,30152,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
darkblotched rockfish,30170,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
splitnose rockfish,30190,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
greenstriped rockfish,30200,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
widow rockfish,30220,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
chilipepper,30260,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
rosethorn rockfish,30270,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
shortbelly rockfish,30290,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
quillback rockfish,30320,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
black rockfish,30330,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
blackgill rockfish,30340,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
vermilion rockfish,30350,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
China rockfish,30370,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
tiger rockfish,30380,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
boccacio,30400,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
canary rockfish,30410,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
redstripe rockfish,30430,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
yelloweye rockfish,30470,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
redbanded rockfish,30475,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
stripetail rockfish,30490,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
harelquin rockfish,30535,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
pygmy rockfish,30550,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
sharpchin rockfish,30560,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
yellowmouth rockfish,30600,Other rockfish-non-SST,TRUE,FALSE,TRUE,TRUE,
