SURVEY_SPECIES,SPECIES_NAME,COMMON_NAME,SPECIES_CODE,ID_RANK,DATABASE,DATABASE_ID,GENUS_TAXON,SUBFAMILY_TAXON,FAMILY_TAXON,SUPERFAMILY_TAXON,INFRAORDER_TAXON,SUBORDER_TAXON,ORDER_TAXON,SUPERORDER_TAXON,INFRACLASS_TAXON,SUBCLASS_TAXON,CLASS_TAXON,SUPERCLASS_TAXON,SUBPHYLUM_TAXON,PHYLUM_TAXON,KINGDOM_TAXON
0,Hippoglossoides robustus,Bering flounder,10140,species,ITIS,172876,Hippoglossoides,Hippoglossoidinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Hippoglossoides robustus (juvenile),Bering flounder (juvenile),10141,species,WORMS,NA,Hippoglossoides,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
1,Pleuronichthys guttulatus,diamond turbot,10145,species,WORMS,293680,Pleuronichthys,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Hypsopsetta guttulata,diamond turbot,10145,species,ITIS,172945,Hypsopsetta,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Lyopsetta exilis,slender sole,10150,species,WORMS,281452,Lyopsetta,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Lyopsetta exilis,slender sole,10150,species,ITIS,172871,Lyopsetta,Lyopsettinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Liopsetta glacialis,Arctic flounder,10155,species,WORMS,275844,Liopsetta,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Liopsetta glacialis,Arctic flounder,10155,species,ITIS,172913,Liopsetta,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Eopsetta jordani,petrale sole,10160,species,WORMS,280690,Eopsetta,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Eopsetta jordani,petrale sole,10160,species,ITIS,172868,Eopsetta,Eopsettinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Parophrys vetulus,English sole,10170,species,WORMS,254393,Parophrys,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Parophrys vetulus,English sole,10170,species,ITIS,172921,Parophrys,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Microstomus pacificus,Dover sole,10180,species,WORMS,274294,Microstomus,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Microstomus pacificus,Dover sole,10180,species,ITIS,172887,Microstomus,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Microstomus bathybius,deepsea sole,10190,species,WORMS,305684,Microstomus,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Embassichthys bathybius,deepsea sole,10190,species,ITIS,172866,Embassichthys,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Glyptocephalus zachirus,rex sole,10200,species,WORMS,274287,Glyptocephalus,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Glyptocephalus zachirus,rex sole,10200,species,ITIS,172978,Glyptocephalus,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Glyptocephalus zachirus larvae,rex sole larvae,10201,species,WORMS,NA,Glyptocephalus,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
1,Limanda aspera (juvenile),yellowfin sole (juvenile),10209,species,WORMS,NA,Limanda,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
1,Limanda aspera,yellowfin sole,10210,species,WORMS,254562,Limanda,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Limanda aspera,yellowfin sole,10210,species,ITIS,172907,Limanda,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Myzopsetta proboscidea,longhead dab,10211,species,WORMS,319505,Myzopsetta,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
1,Limanda sakhalinensis,Sakhalin sole,10212,species,WORMS,274292,Limanda,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Limanda sakhalinensis,Sakhalin sole,10212,species,ITIS,616064,Limanda,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Platichthys stellatus,starry flounder,10220,species,WORMS,154781,Platichthys,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Platichthys stellatus,starry flounder,10220,species,ITIS,172893,Platichthys,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Platichthys stellatus X Pleuronectes quadrituberculatus hybrid,hybrid starry flounder X Alaska plaice,10221,species,WORMS,NA,Platichthys,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
1,Clidoderma asperrimum,roughscale sole,10240,species,WORMS,280216,Clidoderma,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Clidoderma asperrimum,roughscale sole,10240,species,ITIS,172864,Clidoderma,Hippoglossinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Psettichthys melanostictus,sand sole,10250,species,WORMS,282396,Psettichthys,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Psettichthys melanostictus,sand sole,10250,species,ITIS,172928,Psettichthys,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Lepidopsetta sp.,rock sole unid.,10260,genus,WORMS,269638,Lepidopsetta,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Lepidopsetta sp.,rock sole unid.,10260,genus,ITIS,172879,Lepidopsetta,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,Lepidopsetta polyxystra,northern rock sole,10261,species,WORMS,281307,Lepidopsetta,Pleuronectinae,Pleuronectidae,NA,NA,NA,Pleuronectiformes,NA,NA,NA,Teleostei,Actinopteri,Vertebrata,Chordata,Animalia
0,Lepidopsetta polyxystra,northern rock sole,10261,species,ITIS,616392,Lepidopsetta,Pleuronectinae,Pleuronectidae,NA,NA,Pleuronectoidei,Pleuronectiformes,Acanthopterygii,NA,NA,Teleostei,Actinopterygii,Vertebrata,Chordata,Animalia
1,NA,fish egg unid.,1,NA,WORMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrata,Chordata,Animalia
1,NA,fish larvae unid.,2,NA,WORMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrata,Chordata,Animalia
1,NA,fish unid.,3,NA,WORMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrata,Chordata,Animalia
1,Petromyzontidae,lamprey unid.,10,family,WORMS,101163,NA,NA,Petromyzontidae,NA,NA,NA,Petromyzontiformes,NA,NA,NA,Petromyzonti,Cyclostomi,Vertebrata,Chordata,Animalia
0,Petromyzontidae,lamprey unid.,10,family,ITIS,159697,NA,NA,Petromyzontidae,NA,NA,NA,Petromyzontiformes,NA,NA,NA,Cephalaspidomorphi,NA,Vertebrata,Chordata,Animalia
1,Entosphenus tridentatus,Pacific lamprey,21,species,WORMS,314348,Entosphenus,NA,Petromyzontidae,NA,NA,NA,Petromyzontiformes,NA,NA,NA,Petromyzonti,Cyclostomi,Vertebrata,Chordata,Animalia
0,Entosphenus tridentatus,Pacific lamprey,21,species,ITIS,159699,Entosphenus,NA,Petromyzontidae,NA,NA,NA,Petromyzontiformes,NA,NA,NA,Cephalaspidomorphi,NA,Vertebrata,Chordata,Animalia
1,Myxinidae,hagfish unid.,100,family,WORMS,101162,NA,NA,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,Cyclostomi,Vertebrata,Chordata,Animalia
0,Myxinidae,hagfish unid.,100,family,ITIS,159753,NA,NA,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,NA,Vertebrata,Chordata,Animalia
1,Eptatretus sp.,NA,109,genus,WORMS,206895,Eptatretus,Eptatretinae,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,Cyclostomi,Vertebrata,Chordata,Animalia
0,Eptatretus sp.,NA,109,genus,ITIS,159754,Eptatretus,Eptatretinae,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,NA,Vertebrata,Chordata,Animalia
1,Eptatretus deani,black hagfish,110,species,WORMS,279277,Eptatretus,Eptatretinae,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,Cyclostomi,Vertebrata,Chordata,Animalia
0,Eptatretus deani,black hagfish,110,species,ITIS,159756,Eptatretus,Eptatretinae,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,NA,Vertebrata,Chordata,Animalia
1,Eptatretus stoutii,Pacific hagfish,120,species,WORMS,279298,Eptatretus,Eptatretinae,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,Cyclostomi,Vertebrata,Chordata,Animalia
0,Eptatretus stoutii,Pacific hagfish,120,species,ITIS,622244,Eptatretus,Eptatretinae,Myxinidae,NA,NA,NA,Myxiniformes,NA,NA,NA,Myxini,NA,Vertebrata,Chordata,Animalia
1,Selachii,shark unid.,150,infraclass,WORMS,368408,NA,NA,NA,NA,NA,NA,NA,NA,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Selachii,shark unid.,150,superorder,ITIS,563987,NA,NA,NA,NA,NA,NA,NA,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Chondrichthyes,cartilaginous fish unid.,151,parvphylum,WORMS,1517375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrata,Chordata,Animalia
0,Chondrichthyes,cartilaginous fish unid.,151,class,ITIS,159785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
