OLD_SPECIES_NAME,OLD_SPECIES_CODE,NEW_SPECIES_NAME,NEW_SPECIES_CODE,ACTION,YEAR_CHANGED,REASON
Hemithyrididae,97010,Hemithirididae,97010,change taxon name,2023,misspelling
Henricia aleutica,80545,Henricia longispina aleutica,80545,change taxon name,2023,synonym
Henricia multispina,80549,Henricia leviuscula spiculifera,80549,change taxon name,2023,Synonym according to Hayashi (1973)
Heteropolypus (=Anthomastus) sp. A,41331,Anthomastus sp. A,41331,change taxon name,2023,synonym
Heteropolypus (=Anthomastus) sp. B,41332,Anthomastus sp. B,41332,change taxon name,2023,synonym
Hippasteria aleutica,80633,Hippasteria phrygiana,80650,change taxon code/name,2023,Synonym according to Mah et al. (2014)
Hippasteria armata,80632,Hippasteria phrygiana,80650,change taxon code/name,2023,synonym
Hippasteria kurilensis,80631,Hippasteria phrygiana,80650,change taxon code/name,2023,Synonym according to Mah et al. (2014)
Urticina lofotensis,43043,Urticina eques,43043,change taxon name,2023,synonym
Velutina nana,72801,Ciliatovelutina nana,72801,change taxon name,2023,original combination
Velutina prolongata,72804,Limneria prolongata,72803,change taxon code/name,2023,original combination
Velutina rubra,72810,Velutina plicatilis,72802,change taxon code/name,2023,synonym
Velutina undata,72800,Limneria undata,72800,change taxon name,2023,original combination
Volutomitra alaskana,72795,Volutomitra groenlandica,72795,change taxon name,2023,junior synonym
Volutopsius castanea,71760,Volutopsius castaneus,71760,change taxon name,2023,misspelling
Xylophaga californica,75372,Xylophaga washingtona,75372,change taxon name,2023,synonym
Yoldia montereyensis,74415,Megayoldia montereyensis,74415,change taxon name,2023,original combination
Yoldia seminuda,74416,Yoldia aeolica,74416,change taxon name,2023,synonym
cephalopod egg,78005,Cephalopoda egg,78005,change taxon name,2023,synonym
gastropod egg,71001,Gastropoda egg,71001,change taxon name,2023,synonym
NA,NA,Careproctus comus,22246,new taxon added,2023,NA
